artist_spotify_id,award_id,award_year
7nwUJBm0HE4ZxD3f5cy5ok,36,1973
7nwUJBm0HE4ZxD3f5cy5ok,36,1974
7nwUJBm0HE4ZxD3f5cy5ok,36,1981
7nwUJBm0HE4ZxD3f5cy5ok,36,1985
7nwUJBm0HE4ZxD3f5cy5ok,36,1987
7nwUJBm0HE4ZxD3f5cy5ok,13,1993
7nwUJBm0HE4ZxD3f5cy5ok,13,1994
7nwUJBm0HE4ZxD3f5cy5ok,37,2003
7nwUJBm0HE4ZxD3f5cy5ok,37,2005
7nwUJBm0HE4ZxD3f5cy5ok,38,1987
3tAICgiSR5PfYY4B8qsoAU,53,2014
3tAICgiSR5PfYY4B8qsoAU,53,2017
3tAICgiSR5PfYY4B8qsoAU,53,2020
3EA9hVIzKfFiQI0Kikz2wo,100,2016
3gMaNLQm7D9MornNILzdSl,11,2016
3gMaNLQm7D9MornNILzdSl,5,1984
7K78lVZ8XzkjfRSI7570FF,67,2011
2e4nwiX8ZCU09LGLOpeqTH,22,2005
2e4nwiX8ZCU09LGLOpeqTH,22,2007
2e4nwiX8ZCU09LGLOpeqTH,22,2009
5Z1CCuBsyhEHngq3U5IraY,101,_
7fAKtXSdNInWAIf0jVUz65,102,_
7fAKtXSdNInWAIf0jVUz65,67,2004
2uyweLa0mvPZH6eRzDddeB,67,2005
6IE6z7DcZIT4Ml3Fh5Ivch,13,2021
7MhMgCo0Bl0Kukl93PZbYS,0,_
4W3fa7tiXGVXl3KilbACqt,32,2005
4W3fa7tiXGVXl3KilbACqt,48,2005
4W3fa7tiXGVXl3KilbACqt,48,2006
4W3fa7tiXGVXl3KilbACqt,49,2005
4uqzzJg3ww5eH7IgGV7DMT,54,2018
7EK1bQADBoqbYXnT4Cqv9w,29,_
7EK1bQADBoqbYXnT4Cqv9w,80,1975
7EK1bQADBoqbYXnT4Cqv9w,99,1976
7EK1bQADBoqbYXnT4Cqv9w,81,1976
4etuCZVdP8yiNPn4xf0ie5,13,2019
7x5Slu7yTE5icZjNsc3OzW,67,2004
4tw2Lmn9tTPUv7Gy7mVPI4,60,2013
4tw2Lmn9tTPUv7Gy7mVPI4,98,1977
