spotify_artist_id,youtube_channel_id
2Kx7MNY7cI1ENniW7vT30N,UCBJtGODWGrM3fdQ0G5E9uAQ
2Kx7MNY7cI1ENniW7vT30N,UCM11Z1jQPm07ImX4lqYmwqA
40Yq4vzPs9VNUrIBG5Jr2i,UCnGcjQlLO8x7jsfw3r6U9ww
49bzE5vRBRIota4qeHtQM8,UCE8NoMFnai3tTuwdiQJ-78A
4QQgXkCYTt3BlENzhyNETg,UCdyqvgHHq9NEEfV20lO61jQ
4QQgXkCYTt3BlENzhyNETg,UCztiH7D-fHwsMyUF8r15vsQ
3jOstUTkEu2JkjvRdBA5Gu,UC7JDBUzkcwRGtQGia3_mMgQ
3jOstUTkEu2JkjvRdBA5Gu,UCtHZHneyvFGwxg6MHcbMLAw
3o2dn2O0FCVsWDFSh8qxgG,UCjQhd1APsd5NQhiVZV7GYzg
3FUY2gzHeIiaesXtOAdB7A,UC4-bN_6SHokeYKaM3hNeojA
2y8Jo9CKhJvtfeKOsYzRdT,UCm09uYWfEygr5gWjDm9xmUA
2y8Jo9CKhJvtfeKOsYzRdT,UCE5MST8NSGuWr88dQcNZ0fw
4bthk9UfsYUYdcFyqxmSUU,UCcozhiTOkGB1HCOgdBlEFPA
4bthk9UfsYUYdcFyqxmSUU,UCUeZg9WbtcvcfMzEbxIA5Cw
4bthk9UfsYUYdcFyqxmSUU,UCyH3IAelkUFM0u6Iacx22lA
0PFtn5NtBbbUNbU9EAmIWF,UCevVH-AyrGnTDMalq2x5fQQ
0PFtn5NtBbbUNbU9EAmIWF,UCewH1MBbYlEZMWx3ZUNywyg
0PFtn5NtBbbUNbU9EAmIWF,UCo0VtmTVw5B1nMlzOX8KW1A
5EvFsr3kj42KNv97ZEnqij,UCBtln7sL3FYAY6ePguz9sNg
4U7lXyKdSf1JbM1aXvsodC,UCZMo3HVu00Ky9HLDUW8jx7g
5yxyJsFanEAuwSM5kOuZKc,UCY1yTIi-DaxPbNtLCnwAM1g
3koiLjNrgRTNbOwViDipeA,UCV0Arhg2bZuyL6CutipMduw
19ra5tSw0tWufvUp8GotLo,UCR1LVH-teuA3-Kfy576TYSw
19ra5tSw0tWufvUp8GotLo,UCuHROrnQUji4548zGp3TRqQ
4yiQZ8tQPux8cPriYMWUFP,UCkEAAkbmhYVnJVSxvp-AfWg
4yiQZ8tQPux8cPriYMWUFP,UCX6mObpqyrtKMdxvCV9YkGg
0NbfKEOTQCcwd6o7wSDOHI,UC3eKKASjWY-WAGRII9iKHsQ
0NbfKEOTQCcwd6o7wSDOHI,UCCFs35_Ey5FXLh5L8eN08hg
0rvjqX7ttXeg3mTy8Xscbt,UCCcn1f6IDJyXVNYoiYIGZFw
32vWCbZh0xZ4o9gkz4PsEU,UCuGuRQHrvoNsD-AolV0X39g
2kXKa3aAFngGz2P4GjG5w2,UCeBu6AFsaPVElhFzlj5hetg
2wOqMjp9TyABvtHdOSOTUS,UCnsAooIr-Dsr8zJOCSadQcA
2elBjNSdBE2Y3f0j1mjrql,UC8CU5nVhCQIdAGrFFp4loOQ
59wfkuBoNyhDMQGCljbUbA,UCPlVQrTbx0UxYtilJ3CVu0Q
5e4Dhzv426EvQe3aDb64jL,UCadSacAVwG-QH6tWzjrmjxA
5e4Dhzv426EvQe3aDb64jL,UCGD9Vd6tEBkmM0hArMjgu3w
3SgHzT552wy2W8pNLaLk24,UC4q12NoPNySbVqwpw4iO5Vg
5vngPClqofybhPERIqQMYd,UCKforUeV8yBSrpDbuAvSknQ
5vngPClqofybhPERIqQMYd,UCOmZHz5W3F17HraXlJveEJA
6uRJnvQ3f8whVnmeoecv5Z,UCtRkmSO4PrhJ4TzNOmFIwjw
3OLGltG8UPIea8sA4w0yg0,UCP3nA0sJTqSxFv43S7sJU1g
108moq3rq6bm1M4Ypz0J02,UCANvYQ39J_y0MrXCdnaXpcw
